,59.57544,1.02224439865078E8
58.145347,62.68799,4.542643
5.404603,52.220784,46.816181
3.561934,53.817537,50.255603
3.726412,52.206007,48.479595
5.133288,52.077787,46.944499
4.899686,53.524371,48.624685
5.067744,53.711197,48.643453
3.501104,54.063423,50.562319
3.789859,53.68494,49.895081
4.556748,52.859823,48.303075
5.329885,52.942317,47.612432
4.374695,53.053936,48.679241
7.611925,54.26628,46.654355
5.863399,52.280507,46.417108
8.438492,53.302044,44.863552
5.153643,53.63801,48.484367
4.214016,51.776923,47.562907
5.323887,52.950521,47.626634
4.486138,51.978665,47.492527
4.647206,51.679372,47.032166
4.836524,52.11879,47.282266
5.326961,52.1106,46.783639
5.707447,53.306241,47.598794
5.212345,53.112571,47.900226
7.198018,52.949126,45.751108
3.6918,51.354145,47.662345
7.025104,52.17327,45.148166
3.752709,52.061322,48.308613
3.750538,53.192893,49.442355
4.038898,52.416966,48.378068
4.682021,51.794105,47.112084
7.4007,52.350405,44.949705
6.387622,55.124507,48.736885
7.470555,52.833877,45.363322
9.531853,52.083629,42.551776
4.409335,54.989546,50.580211
3.711754,52.622858,48.911104
4.346233,52.636345,48.290112
4.016993,53.4675,49.450507
3.730056,51.854752,48.124696
6.739679,53.450197,46.710518
4.354238,52.564965,48.210727
5.191553,52.660034,47.468481
3.587341,53.331028,49.743687
7.597673,52.994828,45.397155
3.967187,52.465212,48.498025
6.498101,54.006372,47.508271
5.800295,54.059533,48.259238
5.533368,52.190899,46.657531
5.608812,53.163897,47.555085
4.162903,52.73399,48.571087
4.22022,53.519963,49.299743
4.888184,52.824949,47.936765
4.625292,51.679986,47.054694
4.923575,53.246946,48.323371
4.102194,52.699135,48.596941
3.681488,53.103488,49.422
4.069737,53.025029,48.955292
5.85298,51.813618,45.960638
8.960021,53.520442,44.560421
5.547642,55.094926,49.547284
6.625988,52.066717,45.440729
4.183739,51.837674,47.653935
4.42163,52.136936,47.715306
4.04334,51.925137,47.881797
5.03518,51.476761,46.441581
4.515926,52.106599,47.590673
4.883469,52.251402,47.367933
4.418705,52.00022,47.581515
5.013853,52.872171,47.858318
12.551487,58.220787,45.6693
5.447315,57.752096,52.304781
3.905006,52.052343,48.147337
4.651033,53.802749,49.151716
4.64109,51.372203,46.731113
3.964236,52.359336,48.3951
3.84907,51.732501,47.883431
4.839341,52.4868,47.647459
3.814277,53.065546,49.251269
5.166687,53.015345,47.848658
4.414837,53.728594,49.313757
5.415806,53.362778,47.946972
4.662711,52.499043,47.836332
6.645408,52.493849,45.848441
5.572955,54.514216,48.941261
6.473575,66.080839,59.607264
5.795311,54.431381,48.63607
4.269011,51.312507,47.043496
4.57389,52.095129,47.521239
3.696027,53.377886,49.681859
4.948963,53.958563,49.0096
3.332534,52.838502,49.505968
5.063723,53.04693,47.983207
4.278191,52.550954,48.272763
4.652933,51.355266,46.702333
5.118117,52.600765,47.482648
4.813446,53.269227,48.455781
3.865344,52.340448,48.475104
4.221127,52.439247,48.21812
7.356358,53.310946,45.954588
3.381575,53.267778,49.886203
3.779586,52.893977,49.114391
4.429021,52.767807,48.338786
3.628753,52.549308,48.920555
5.032049,51.913873,46.881824
3.698373,52.654369,48.955996
4.052558,51.981649,47.929091
4.424455,52.044954,47.620499
5.54938,55.089167,49.539787
11.061139,53.901018,42.839879
4.956658,54.975109,50.018451
5.1571,53.301917,48.144817
3.88734,52.61956,48.73222
3.816548,53.172067,49.355519
3.661315,52.797994,49.136679
3.640303,51.762273,48.12197
3.922633,52.055272,48.132639
4.11626,53.118976,49.002716
4.646777,52.649897,48.00312
8.707656,53.455791,44.748135
5.614114,58.868139,53.254025
4.770778,52.316062,47.545284
4.341519,52.519021,48.177502
4.013999,52.747098,48.733099
4.109429,53.152731,49.043302
4.179251,52.525672,48.346421
5.380289,52.099473,46.719184
4.043502,52.63404,48.590538
3.655854,52.311105,48.655251
4.738679,51.665709,46.92703
4.988968,52.476967,47.487999
3.790423,53.098536,49.308113
3.427842,52.529137,49.101295
4.757665,51.558377,46.800712
7.895641,54.943144,47.047503
5.089915,54.609372,49.519457
4.018879,52.688763,48.669884
5.256789,52.466064,47.209275
3.849822,52.920512,49.07069
3.506917,51.864691,48.357774
5.247232,52.022443,46.775211
5.17489,52.940289,47.765399
4.542893,52.525655,47.982762
3.810035,52.94916,49.139125
3.967766,53.248102,49.280336
3.617241,52.466817,48.849576
5.062349,51.420455,46.358106
6.433416,55.202928,48.769512
7.656168,53.391624,45.735456
7.62316,54.014998,46.391838
4.028163,52.734115,48.705952
5.543274,52.895067,47.351793
3.948356,52.056911,48.108555
4.083182,51.83876,47.755578
5.599333,52.377083,46.77775
4.152228,53.599021,49.446793
3.567175,51.719146,48.151971
4.263385,52.381465,48.11808
3.603487,52.334215,48.730728
6.246191,52.860581,46.61439
5.172229,56.272079,51.09985
6.483747,53.405615,46.921868
4.34298,52.347777,48.004797
5.335302,52.367172,47.03187
4.304181,54.133221,49.82904
3.65243,54.772519,51.120089
4.474317,53.153838,48.679521
5.131366,53.349283,48.217917
4.162179,51.371057,47.208878
4.091018,51.903499,47.812481
4.235515,52.604363,48.368848
4.82078,51.876543,47.055763
4.658598,52.028915,47.370317
3.430851,52.947249,49.516398
10.861154,57.692485,46.831331
5.643405,55.136461,49.493056
4.98247,51.91102,46.92855
4.042744,52.557774,48.51503
3.891345,52.701646,48.810301
7.734783,53.222961,45.488178
3.62658,51.935992,48.309412
4.383687,51.517749,47.134062
4.228162,52.009148,47.780986
3.889724,52.474164,48.58444
8.731376,52.222674,43.491298
3.662773,52.083496,48.420723
6.067824,53.856581,47.788757
4.902828,52.882555,47.979727
7.631921,53.471058,45.839137
10.369464,54.607151,44.237687
3.737455,52.668692,48.931237
10.183108,52.579884,42.396776
4.066397,52.478732,48.412335
4.417251,51.788191,47.37094
5.562644,52.803973,47.241329
3.372544,55.19462,51.822076
4.064041,51.805054,47.741013
2.791896,52.323591,49.531695
4.662686,52.281923,47.619237
9.080781,56.170213,47.089432
5.59604,55.900376,50.304336
6.8952,53.966873,47.071673
4.852347,52.376763,47.524416
5.194885,53.250386,48.055501
6.013721,52.024967,46.011246
3.715016,53.106824,49.391808
3.853981,52.669518,48.815537
3.159725,52.364957,49.205232
3.481917,53.145335,49.663418
7.517879,53.38017,45.862291
4.245837,54.579317,50.33348
5.341751,51.613111,46.27136
4.213375,52.592691,48.379316
7.312821,54.181335,46.868514
9.796938,56.645283,46.848345
4.484324,52.884079,48.399755
5.670164,53.319151,47.648987
3.881104,51.704197,47.823093
7.421631,51.885446,44.463815
11.103345,51.123389,40.020044
4.778465,56.315146,51.536681
4.145971,52.249352,48.103381
5.02221,53.046768,48.024558
3.462391,53.013369,49.550978
8.801291,53.210374,44.409083
3.829106,59.57019,55.741084
6.39026,53.22703,46.83677
4.317735,53.157633,48.839898
5.782214,51.649837,45.867623
3.233404,53.356983,50.123579
4.455052,53.336663,48.881611
4.130633,51.967917,47.837284
3.783951,52.141159,48.357208
3.904663,53.641976,49.737313
